SEMEL_YISHUV,SHEM_YISHUV,KALPI2022,Stat2011,yishuv_stat2011
1358,אום בטין,1,1,13580001
1358,אום בטין,2,1,13580001
1358,אום בטין,3,1,13580001
1358,אום בטין,4,1,13580001
1108,אומן,1,1,11080001
680,אומץ,1,1,6800001
31,אופקים,1,4,310004
31,אופקים,2,3,310003
31,אופקים,3,2,310002
31,אופקים,4,2,310002
31,אופקים,5,2,310002
31,אופקים,6,2,310002
31,אופקים,7,3,310003
31,אופקים,8,3,310003
31,אופקים,9,2,310002
31,אופקים,10,6,310006
31,אופקים,11,6,310006
31,אופקים,12,6,310006
31,אופקים,13,4,310004
31,אופקים,14,4,310004
31,אופקים,15,6,310006
31,אופקים,16,1,310001
31,אופקים,17,1,310001
31,אופקים,18,2,310002
31,אופקים,19,1,310001
31,אופקים,20,7,310007
31,אופקים,21,7,310007
31,אופקים,22,7,310007
31,אופקים,23,7,310007
31,אופקים,24,7,310007
31,אופקים,25,1,310001
31,אופקים,26,3,310003
31,אופקים,27,1,310001
31,אופקים,28,6,310006
31,אופקים,29,5,310005
31,אופקים,30,4,310004
31,אופקים,31,7,310007
31,אופקים,32,7,310007
31,אופקים,33,6,310006
31,אופקים,34,1,310001
31,אופקים,35,7,310007
31,אופקים,36,7,310007
31,אופקים,37,7,310007
31,אופקים,38,7,310007
31,אופקים,39,7,310007
31,אופקים,40,1,310001
31,אופקים,41,6,310006
31,אופקים,42,7,310007
1294,אור הגנוז,1,1,12940001
67,אור הנר,1,1,670001
2400,אור יהודה,1,1,24000001
2400,אור יהודה,2,4,24000004
2400,אור יהודה,3,3,24000003
2400,אור יהודה,4,5,24000005
2400,אור יהודה,5,7,24000007
2400,אור יהודה,6,5,24000005
2400,אור יהודה,7,8,24000008
2400,אור יהודה,8,12,24000012
2400,אור יהודה,9,7,24000007
2400,אור יהודה,10,12,24000012
2400,אור יהודה,11,12,24000012
2400,אור יהודה,12,2,24000002
2400,אור יהודה,13,5,24000005
2400,אור יהודה,14,7,24000007
2400,אור יהודה,15,7,24000007
2400,אור יהודה,16,3,24000003
2400,אור יהודה,17,2,24000002
2400,אור יהודה,18,4,24000004
2400,אור יהודה,19,4,24000004
2400,אור יהודה,20,3,24000003
2400,אור יהודה,21,8,24000008
2400,אור יהודה,22,2,24000002
2400,אור יהודה,23,2,24000002
2400,אור יהודה,24,3,24000003
2400,אור יהודה,25,9,24000009
2400,אור יהודה,26,4,24000004
2400,אור יהודה,27,9,24000009
2400,אור יהודה,28,9,24000009
2400,אור יהודה,29,10,24000010
2400,אור יהודה,30,7,24000007
2400,אור יהודה,31,12,24000012
2400,אור יהודה,32,10,24000010
2400,אור יהודה,33,9,24000009
2400,אור יהודה,34,9,24000009
2400,אור יהודה,35,10,24000010
2400,אור יהודה,36,9,24000009
2400,אור יהודה,37,1,24000001
2400,אור יהודה,38,12,24000012
2400,אור יהודה,39,9,24000009
2400,אור יהודה,40,1,24000001
2400,אור יהודה,41,10,24000010
2400,אור יהודה,42,4,24000004
2400,אור יהודה,43,11,24000011
2400,אור יהודה,44,1,24000001
2400,אור יהודה,45,9,24000009
2400,אור יהודה,46,1,24000001
2400,אור יהודה,47,1,24000001
2400,אור יהודה,48,10,24000010
2400,אור יהודה,49,10,24000010
2400,אור יהודה,101,13,24000013
2400,אור יהודה,950,6,24000006
1020,אור עקיבא,1,3,10200003
1020,אור עקיבא,2,3,10200003
1020,אור עקיבא,3,3,10200003
1020,אור עקיבא,4,3,10200003
1020,אור עקיבא,5,2,10200002
1020,אור עקיבא,6,3,10200003
1020,אור עקיבא,7,2,10200002
1020,אור עקיבא,8,2,10200002
1020,אור עקיבא,9,3,10200003
1020,אור עקיבא,10,2,10200002
1020,אור עקיבא,11,2,10200002
1020,אור עקיבא,12,5,10200005
1020,אור עקיבא,13,1,10200001
1020,אור עקיבא,14,5,10200005
1020,אור עקיבא,15,4,10200004
1020,אור עקיבא,16,4,10200004
1020,אור עקיבא,17,5,10200005
1020,אור עקיבא,18,5,10200005
1020,אור עקיבא,19,4,10200004
1020,אור עקיבא,20,5,10200005
1020,אור עקיבא,21,5,10200005
1020,אור עקיבא,22,5,10200005
1020,אור עקיבא,23,4,10200004
1020,אור עקיבא,24,1,10200001
1020,אור עקיבא,25,1,10200001
1020,אור עקיבא,26,1,10200001
1020,אור עקיבא,27,5,10200005
1020,אור עקיבא,28,3,10200003
1020,אור עקיבא,950,1,10200001
780,אורה,1,1,7800001
780,אורה,2,1,7800001
2012,אורות,1,1,20120001
4013,אורטל,1,1,40130001
403,אורים,1,1,4030001
882,אורנים,1,1,8820001
3760,אורנית,1,1,37600001
3760,אורנית,2,1,37600001
3760,אורנית,3,1,37600001
3760,אורנית,4,1,37600001
3760,אורנית,5,1,37600001
3760,אורנית,6,1,37600001
3760,אורנית,7,1,37600001
3760,אורנית,8,1,37600001
3760,אורנית,9,1,37600001
3760,אורנית,10,1,37600001
3760,אורנית,11,1,37600001
278,אושה,1,1,2780001
565,אזור,1,1,5650001
565,אזור,2,1,5650001
565,אזור,3,2,5650002
565,אזור,4,2,5650002
565,אזור,5,3,5650003
565,אזור,6,2,5650002
565,אזור,7,1,5650001
565,אזור,8,3,5650003
565,אזור,9,3,5650003
565,אזור,10,3,5650003
565,אזור,11,2,5650002
565,אזור,12,3,5650003
565,אזור,13,1,5650001
565,אזור,14,1,5650001
565,אזור,15,3,5650003
565,אזור,16,2,5650002
1157,אחווה,1,1,11570001
821,אחוזם,1,1,8210001
1330,אחוזת ברק,1,1,13300001
1330,אחוזת ברק,2,1,13300001
1330,אחוזת ברק,3,1,13300001
1330,אחוזת ברק,4,1,13300001
785,אחיהוד,1,1,7850001
850,אחיטוב,1,1,8500001
850,אחיטוב,2,1,8500001
804,אחיסמך,1,1,8040001
804,אחיסמך,2,1,8040001
797,אחיעזר,1,1,7970001
797,אחיעזר,2,1,7970001
338,איבים,1,1,3380001
716,אייל,1,1,7160001
77,איילת השחר,1,1,770001
77,איילת השחר,2,1,770001
294,אילון,1,1,2940001
294,אילון,2,1,2940001
1126,אילות,1,1,11260001
49,אילניה,1,1,490001
2600,אילת,1,21,26000021
2600,אילת,2,21,26000021
2600,אילת,3,25,26000025
2600,אילת,4,13,26000013
2600,אילת,5,14,26000014
2600,אילת,6,14,26000014
2600,אילת,7,14,26000014
2600,אילת,8,16,26000016
2600,אילת,9,15,26000015
2600,אילת,10,15,26000015
2600,אילת,11,15,26000015
2600,אילת,12,21,26000021
2600,אילת,13,25,26000025
2600,אילת,14,21,26000021
2600,אילת,15,14,26000014
2600,אילת,16,14,26000014
2600,אילת,17,11,26000011
2600,אילת,18,25,26000025
2600,אילת,19,11,26000011
2600,אילת,20,15,26000015
2600,אילת,21,14,26000014
2600,אילת,22,12,26000012
2600,אילת,23,21,26000021
2600,אילת,24,15,26000015
2600,אילת,25,25,26000025
2600,אילת,26,25,26000025
2600,אילת,27,23,26000023
2600,אילת,28,24,26000024
2600,אילת,29,24,26000024
2600,אילת,30,25,26000025
2600,אילת,31,21,26000021
2600,אילת,32,22,26000022
2600,אילת,33,22,26000022
2600,אילת,34,23,26000023
2600,אילת,35,23,26000023
2600,אילת,36,24,26000024
2600,אילת,37,31,26000031
2600,אילת,38,23,26000023
2600,אילת,39,23,26000023
2600,אילת,40,24,26000024
2600,אילת,41,31,26000031
2600,אילת,42,31,26000031
2600,אילת,43,32,26000032
2600,אילת,44,31,26000031
2600,אילת,45,22,26000022
2600,אילת,46,23,26000023
2600,אילת,47,23,26000023
2600,אילת,48,24,26000024
2600,אילת,49,31,26000031
2600,אילת,50,32,26000032
2600,אילת,51,32,26000032
2600,אילת,52,22,26000022
2600,אילת,53,22,26000022
2600,אילת,54,23,26000023
2600,אילת,55,24,26000024
2600,אילת,56,36,26000036
2600,אילת,57,31,26000031
2600,אילת,58,36,26000036
2600,אילת,59,36,26000036
2600,אילת,60,14,26000014
2600,אילת,61,15,26000015
2600,אילת,62,21,26000021
2600,אילת,63,21,26000021
2600,אילת,64,23,26000023
2600,אילת,65,33,26000033
2600,אילת,66,33,26000033
2600,אילת,67,33,26000033
2600,אילת,68,35,26000035
2600,אילת,69,33,26000033
2600,אילת,70,34,26000034
2600,אילת,71,33,26000033
2600,אילת,72,36,26000036
2600,אילת,73,34,26000034
2600,אילת,74,35,26000035
2600,אילת,75,35,26000035
2600,אילת,76,36,26000036
2600,אילת,77,36,26000036
2600,אילת,78,34,26000034
2600,אילת,79,35,26000035
2600,אילת,80,14,26000014
2600,אילת,81,36,26000036
2600,אילת,82,36,26000036
2600,אילת,83,36,26000036
2600,אילת,84,36,26000036
2600,אילת,86,31,26000031
2600,אילת,87,12,26000012
2600,אילת,88,36,26000036
1336,אירוס,1,1,13360001
3762,איתמר,1,1,37620001
37,איתן,1,1,370001
886,איתנים,1,1,8860001
1359,אל סייד,1,1,13590001
1359,אל סייד,2,1,13590001
1359,אל סייד,3,1,13590001
1145,אלומה,1,1,11450001
330,אלומות,1,1,3300001
1182,אלון הגליל,1,1,11820001
1182,אלון הגליל,2,1,11820001
3579,אלון מורה,1,1,35790001
3579,אלון מורה,2,1,35790001
3604,אלון שבות,1,1,36040001
3604,אלון שבות,2,1,36040001
3604,אלון שבות,3,1,36040001
3604,אלון שבות,4,1,36040001
429,אלוני אבא,1,1,4290001
4017,אלוני הבשן,1,1,40170001
868,אלוני יצחק,1,1,8680001
285,אלונים,1,1,2850001
1365,אליאב,1,1,13650001
41,אליכין,1,1,410001
41,אליכין,2,1,410001
41,אליכין,3,1,410001
41,אליכין,4,1,410001
4002,אלי-עד,1,1,40020001
1248,אליפז,1,1,12480001
730,אליפלט,1,1,7300001
682,אליקים,1,1,6820001
204,אלישיב,1,1,2040001
841,אלישמע,1,1,8410001
841,אלישמע,2,1,8410001
1125,אלמגור,1,1,11250001
3556,אלמוג,1,1,35560001
1309,אלעד,1,2,13090002
1309,אלעד,2,1,13090001
1309,אלעד,3,2,13090002
1309,אלעד,4,1,13090001
1309,אלעד,5,1,13090001
1309,אלעד,6,5,13090005
1309,אלעד,7,2,13090002
1309,אלעד,8,3,13090003
1309,אלעד,9,5,13090005
1309,אלעד,10,4,13090004
1309,אלעד,11,3,13090003
1309,אלעד,12,4,13090004
1309,אלעד,13,4,13090004
1309,אלעד,14,7,13090007
1309,אלעד,15,5,13090005
1309,אלעד,16,7,13090007
1309,אלעד,17,3,13090003
1309,אלעד,18,2,13090002
1309,אלעד,19,1,13090001
1309,אלעד,20,7,13090007
1309,אלעד,21,6,13090006
1309,אלעד,22,6,13090006
1309,אלעד,23,7,13090007
1309,אלעד,24,5,13090005
1309,אלעד,25,1,13090001
1309,אלעד,26,3,13090003
1309,אלעד,27,6,13090006
1309,אלעד,28,7,13090007
1309,אלעד,29,4,13090004
1309,אלעד,30,2,13090002
1309,אלעד,31,7,13090007
1309,אלעד,32,6,13090006
1309,אלעד,33,2,13090002
1309,אלעד,34,5,13090005
1309,אלעד,35,1,13090001
1309,אלעד,36,4,13090004
1309,אלעד,37,6,13090006
1309,אלעד,38,3,13090003
1339,אל-עזי,1,1,13390001
3618,אלעזר,1,1,36180001
3618,אלעזר,2,1,36180001
3618,אלעזר,3,1,36180001
1316,אל-עריאן,1,1,13160001
3750,אלפי מנשה,1,1,37500001
3750,אלפי מנשה,2,1,37500001
3750,אלפי מנשה,3,1,37500001
3750,אלפי מנשה,4,1,37500001
3750,אלפי מנשה,5,1,37500001
3750,אלפי מנשה,6,1,37500001
3750,אלפי מנשה,7,1,37500001
3750,אלפי מנשה,8,1,37500001
3750,אלפי מנשה,9,1,37500001
3750,אלפי מנשה,10,1,37500001
3750,אלפי מנשה,11,1,37500001
3750,אלפי מנשה,12,1,37500001
603,אלקוש,1,1,6030001
3560,אלקנה,1,1,35600001
3560,אלקנה,2,1,35600001
3560,אלקנה,3,1,35600001
3560,אלקנה,4,1,35600001
3560,אלקנה,5,1,35600001
4003,אל-רום,1,1,40030001
772,אמונים,1,1,7720001
1064,אמירים,1,1,10640001
1253,אמנון,1,1,12530001
23,אמציה,1,1,230001
4012,אניעם,1,1,40120001
3754,אספר,1,1,37540001
4301,אפיק,1,1,43010001
176,אפיקים,1,1,1760001
176,אפיקים,2,1,1760001
313,אפק,1,1,3130001
3650,אפרת,1,1,36500001
3650,אפרת,2,1,36500001
3650,אפרת,3,1,36500001
3650,אפרת,4,1,36500001
3650,אפרת,5,1,36500001
3650,אפרת,6,1,36500001
3650,אפרת,7,1,36500001
3650,אפרת,8,1,36500001
3650,אפרת,9,1,36500001
3650,אפרת,10,1,36500001
3650,אפרת,11,1,36500001
3650,אפרת,12,1,36500001
3650,אפרת,13,1,36500001
701,ארבל,1,1,7010001
3598,ארגמן,1,1,35980001
714,ארז,1,1,7140001
3570,אריאל,1,3,35700003
3570,אריאל,2,2,35700002
3570,אריאל,3,1,35700001
3570,אריאל,4,1,35700001
3570,אריאל,5,2,35700002
3570,אריאל,6,3,35700003
3570,אריאל,7,3,35700003
3570,אריאל,8,4,35700004
3570,אריאל,9,5,35700005
3570,אריאל,10,3,35700003
3570,אריאל,11,2,35700002
3570,אריאל,12,1,35700001
3570,אריאל,13,1,35700001
3570,אריאל,14,4,35700004
3570,אריאל,15,3,35700003
3570,אריאל,16,4,35700004
3570,אריאל,17,2,35700002
3570,אריאל,18,3,35700003
3570,אריאל,20,4,35700004
3570,אריאל,21,5,35700005
3570,אריאל,22,5,35700005
3570,אריאל,23,5,35700005
3570,אריאל,24,4,35700004
3570,אריאל,25,4,35700004
3570,אריאל,26,3,35700003
1324,ארסוף,1,1,13240001
71,אשבול,1,1,710001
1276,אשבל,1,1,12760001
70,אשדוד,1,122,700122
70,אשדוד,2,122,700122
70,אשדוד,3,126,700126
70,אשדוד,4,126,700126
70,אשדוד,5,123,700123
70,אשדוד,6,126,700126
70,אשדוד,7,123,700123
70,אשדוד,8,125,700125
70,אשדוד,9,133,700133
70,אשדוד,10,133,700133
70,אשדוד,11,133,700133
70,אשדוד,12,132,700132
70,אשדוד,13,132,700132
70,אשדוד,14,131,700131
70,אשדוד,15,131,700131
70,אשדוד,16,223,700223
70,אשדוד,17,125,700125
70,אשדוד,18,142,700142
70,אשדוד,19,126,700126
70,אשדוד,20,125,700125
70,אשדוד,21,234,700234
70,אשדוד,22,133,700133
70,אשדוד,23,122,700122
70,אשדוד,24,221,700221
70,אשדוד,25,223,700223
70,אשדוד,26,223,700223
70,אשדוד,27,123,700123
70,אשדוד,28,125,700125
70,אשדוד,29,132,700132
70,אשדוד,30,143,700143
70,אשדוד,31,143,700143
70,אשדוד,32,141,700141
70,אשדוד,33,143,700143
70,אשדוד,34,142,700142
70,אשדוד,35,142,700142
70,אשדוד,36,123,700123
70,אשדוד,37,142,700142
70,אשדוד,38,123,700123
70,אשדוד,39,133,700133
70,אשדוד,40,126,700126
70,אשדוד,41,133,700133
70,אשדוד,42,126,700126
70,אשדוד,43,133,700133
70,אשדוד,44,141,700141
70,אשדוד,45,244,700244
70,אשדוד,46,242,700242
70,אשדוד,47,221,700221
70,אשדוד,48,222,700222
70,אשדוד,49,222,700222
70,אשדוד,50,223,700223
70,אשדוד,51,221,700221
70,אשדוד,52,221,700221
70,אשדוד,53,231,700231
70,אשדוד,54,232,700232
70,אשדוד,55,231,700231
70,אשדוד,56,232,700232
70,אשדוד,57,231,700231
70,אשדוד,58,144,700144
70,אשדוד,59,144,700144
70,אשדוד,60,144,700144
70,אשדוד,61,131,700131
70,אשדוד,62,144,700144
70,אשדוד,63,144,700144
70,אשדוד,64,232,700232
70,אשדוד,65,231,700231
70,אשדוד,66,233,700233
70,אשדוד,67,234,700234
70,אשדוד,68,243,700243
70,אשדוד,69,144,700144
70,אשדוד,70,223,700223
70,אשדוד,71,222,700222
70,אשדוד,72,222,700222
70,אשדוד,73,222,700222
70,אשדוד,74,222,700222
70,אשדוד,75,223,700223
70,אשדוד,76,234,700234
70,אשדוד,77,234,700234
70,אשדוד,79,233,700233
70,אשדוד,80,233,700233
70,אשדוד,81,233,700233
70,אשדוד,82,241,700241
70,אשדוד,83,241,700241
70,אשדוד,84,241,700241
70,אשדוד,85,241,700241
70,אשדוד,86,242,700242
70,אשדוד,87,243,700243
70,אשדוד,88,242,700242
70,אשדוד,89,426,700426
70,אשדוד,90,244,700244
70,אשדוד,91,243,700243
70,אשדוד,92,244,700244
70,אשדוד,93,242,700242
70,אשדוד,94,323,700323
70,אשדוד,95,323,700323
70,אשדוד,96,321,700321
70,אשדוד,97,323,700323
70,אשדוד,98,322,700322
70,אשדוד,99,323,700323
70,אשדוד,100,244,700244
70,אשדוד,101,321,700321
70,אשדוד,102,425,700425
70,אשדוד,103,425,700425
70,אשדוד,104,426,700426
70,אשדוד,105,426,700426
70,אשדוד,106,425,700425
70,אשדוד,107,425,700425
70,אשדוד,108,423,700423
70,אשדוד,109,425,700425
70,אשדוד,110,424,700424
70,אשדוד,111,241,700241
70,אשדוד,112,241,700241
70,אשדוד,113,426,700426
70,אשדוד,114,423,700423
70,אשדוד,115,322,700322
70,אשדוד,116,312,700312
70,אשדוד,117,243,700243
70,אשדוד,118,323,700323
70,אשדוד,119,424,700424
70,אשדוד,120,423,700423
70,אשדוד,121,433,700433
70,אשדוד,122,432,700432
70,אשדוד,123,432,700432
70,אשדוד,124,331,700331
70,אשדוד,125,331,700331
70,אשדוד,126,333,700333
70,אשדוד,127,333,700333
70,אשדוד,128,332,700332
70,אשדוד,129,333,700333
70,אשדוד,130,332,700332
70,אשדוד,131,342,700342
70,אשדוד,132,342,700342
70,אשדוד,133,342,700342
70,אשדוד,134,343,700343
70,אשדוד,135,343,700343
70,אשדוד,136,412,700412
70,אשדוד,137,411,700411
70,אשדוד,138,413,700413
70,אשדוד,139,413,700413
70,אשדוד,140,412,700412
70,אשדוד,141,212,700212
70,אשדוד,142,411,700411
70,אשדוד,143,412,700412
70,אשדוד,144,411,700411
70,אשדוד,145,413,700413
70,אשדוד,146,412,700412
70,אשדוד,147,412,700412
70,אשדוד,148,411,700411
70,אשדוד,149,411,700411
70,אשדוד,150,411,700411
70,אשדוד,151,342,700342
70,אשדוד,152,342,700342
70,אשדוד,153,343,700343
70,אשדוד,154,342,700342
70,אשדוד,155,343,700343
70,אשדוד,156,343,700343
70,אשדוד,157,413,700413
70,אשדוד,158,342,700342
70,אשדוד,159,321,700321
70,אשדוד,160,321,700321
70,אשדוד,161,321,700321
70,אשדוד,162,322,700322
70,אשדוד,163,317,700317
70,אשדוד,164,316,700316
70,אשדוד,165,315,700315
70,אשדוד,166,316,700316
70,אשדוד,167,315,700315
70,אשדוד,168,316,700316
70,אשדוד,169,314,700314
70,אשדוד,170,424,700424
70,אשדוד,171,315,700315
70,אשדוד,172,423,700423
70,אשדוד,173,425,700425
70,אשדוד,174,426,700426
70,אשדוד,175,425,700425
70,אשדוד,176,314,700314
70,אשדוד,177,233,700233
70,אשדוד,178,424,700424
70,אשדוד,179,423,700423
70,אשדוד,180,212,700212
70,אשדוד,181,212,700212
70,אשדוד,182,212,700212
70,אשדוד,183,213,700213
70,אשדוד,184,211,700211
70,אשדוד,185,211,700211
70,אשדוד,186,211,700211
70,אשדוד,187,211,700211
70,אשדוד,188,316,700316
70,אשדוד,189,332,700332
70,אשדוד,190,331,700331
70,אשדוד,191,333,700333
70,אשדוד,192,331,700331
70,אשדוד,193,331,700331
70,אשדוד,194,333,700333
70,אשדוד,195,213,700213
70,אשדוד,196,321,700321
70,אשדוד,197,323,700323
70,אשדוד,198,433,700433
70,אשדוד,199,433,700433
70,אשדוד,200,432,700432
70,אשדוד,201,433,700433
70,אשדוד,202,433,700433
70,אשדוד,203,432,700432
70,אשדוד,204,433,700433
70,אשדוד,205,241,700241
70,אשדוד,206,234,700234
70,אשדוד,207,243,700243
70,אשדוד,208,122,700122
70,אשדוד,209,234,700234
70,אשדוד,210,142,700142
70,אשדוד,211,143,700143
70,אשדוד,212,141,700141
70,אשדוד,213,144,700144
70,אשדוד,214,123,700123
70,אשדוד,215,126,700126
70,אשדוד,216,421,700421
70,אשדוד,217,421,700421
70,אשדוד,218,421,700421
70,אשדוד,219,421,700421
70,אשדוד,220,421,700421
70,אשדוד,221,421,700421
70,אשדוד,222,422,700422
70,אשדוד,223,312,700312
70,אשדוד,224,422,700422
70,אשדוד,225,422,700422
70,אשדוד,226,422,700422
70,אשדוד,227,317,700317
70,אשדוד,228,314,700314
70,אשדוד,229,315,700315
70,אשדוד,230,316,700316
70,אשדוד,231,316,700316
70,אשדוד,232,315,700315
70,אשדוד,233,317,700317
70,אשדוד,234,316,700316
70,אשדוד,235,232,700232
70,אשדוד,236,233,700233
70,אשדוד,237,314,700314
70,אשדוד,238,421,700421
70,אשדוד,239,423,700423
70,אשדוד,240,433,700433
70,אשדוד,241,432,700432
70,אשדוד,242,434,700434
70,אשדוד,243,434,700434
70,אשדוד,244,422,700422
70,אשדוד,245,422,700422
70,אשדוד,246,322,700322
70,אשדוד,247,423,700423
70,אשדוד,248,133,700133
70,אשדוד,249,143,700143
70,אשדוד,250,126,700126
70,אשדוד,251,422,700422
70,אשדוד,252,231,700231
70,אשדוד,253,144,700144
70,אשדוד,254,314,700314
70,אשדוד,255,426,700426
70,אשדוד,256,315,700315
70,אשדוד,257,121,700121
70,אשדוד,258,122,700122
70,אשדוד,259,124,700124
70,אשדוד,260,434,700434
70,אשדוד,261,421,700421
70,אשדוד,263,431,700431
70,אשדוד,264,317,700317
70,אשדוד,265,211,700211
70,אשדוד,266,313,700313
70,אשדוד,267,111,700111
70,אשדוד,268,145,700145
70,אשדוד,269,341,700341
70,אשדוד,270,425,700425
70,אשדוד,271,414,700414
70,אשדוד,272,141,700141
70,אשדוד,273,213,700213
70,אשדוד,274,315,700315
70,אשדוד,275,314,700314
70,אשדוד,276,422,700422
70,אשדוד,277,434,700434
70,אשדוד,278,311,700311
70,אשדוד,279,241,700241
70,אשדוד,280,317,700317
70,אשדוד,281,415,700415
70,אשדוד,282,415,700415
70,אשדוד,283,426,700426
70,אשדוד,284,212,700212
70,אשדוד,285,131,700131
70,אשדוד,286,212,700212
70,אשדוד,287,415,700415
70,אשדוד,288,415,700415
70,אשדוד,289,434,700434
70,אשדוד,290,333,700333
70,אשדוד,291,323,700323
70,אשדוד,292,323,700323
70,אשדוד,293,311,700311
70,אשדוד,294,433,700433
70,אשדוד,295,415,700415
70,אשדוד,296,211,700211
70,אשדוד,297,313,700313
70,אשדוד,298,316,700316
70,אשדוד,299,313,700313
70,אשדוד,300,141,700141
70,אשדוד,301,422,700422
70,אשדוד,302,415,700415
70,אשדוד,303,422,700422
70,אשדוד,304,317,700317
70,אשדוד,305,232,700232
70,אשדוד,306,333,700333
70,אשדוד,307,434,700434
70,אשדוד,308,211,700211
70,אשדוד,309,432,700432
70,אשדוד,310,313,700313
70,אשדוד,311,434,700434
70,אשדוד,950,112,700112
70,אשדוד,951,113,700113
70,אשדוד,952,311,700311
70,אשדוד,953,317,700317
70,אשדוד,954,422,700422
70,אשדוד,955,415,700415
199,אשדות יעקב  (איחוד),1,1,1990001
